"Title","Authors","Average_Rating","Ratings_Count","Language_Code","Num_Pages","Publication_Date","Publisher","Categories","Text_Reviews_Count","Theme"
"Murder on the Orient Express (Hercule Poirot  #10)","Agatha Christie",4.17,145660,"eng",322,2004,"Berkley","Fiction",5711,"Fiction"
"Lover Awakened (Black Dagger Brotherhood  #3)","J.R. Ward",4.45,144906,"eng",448,2006,"Signet","Fiction",5728,"Fiction"
"Congo","Michael Crichton",3.59,144636,"eng",442,2003,"Avon Books","Fiction",1546,"Fiction"
"Twenty Thousand Leagues Under the Sea (Extraordinary Voyages  #6)","Jules Verne/Anthony Bonner",3.88,142879,"eng",394,2002,"Barnes & Noble","Science fiction",3087,"Fantasy & Science Fiction"
"The Tale of Despereaux","Kate DiCamillo/Timothy Basil Ering",4.04,142149,"eng",267,2008,"Candlewick Press","Animals",8457,"Technology, Science & Animals"
"Baby Proof","Emily Giffin",3.72,140762,"eng",340,2006,"St. Martin's Press","Fiction",3096,"Fiction"
"The Hunchback of Notre-Dame","Victor Hugo/Walter J. Cobb",4,140529,"eng",510,2001,"Signet Classics","Fiction",2558,"Fiction"
"The Bone Collector (Lincoln Rhyme  #1)","Jeffery Deaver",4.19,140014,"eng",528,1998,"Signet Book","Fiction",1753,"Fiction"
"Julius Caesar","William Shakespeare/Roma Gill",3.68,138685,"eng",128,2002,"Oxford University Press  USA","Juvenile Nonfiction",2595,"Young Adult and Children Fiction"
"Twelfth Night","William Shakespeare",3.98,138101,"eng",272,2004,"Simon Schuster","Drama",2513,"Arts & Culture"
"The Constant Princess (The Plantagenet and Tudor Novels  #6)","Philippa Gregory",3.9,136931,"eng",390,2006,"Washington Square Press","Fiction",3915,"Fiction"
"The Republic","Plato/Desmond Lee/Maria Helena da Rocha Pereira/Benjamin Jowett",3.94,136467,"eng",416,2003,"Penguin Classics","Philosophy",2013,"Social Sciences & Philosophy"
"Lamb: The Gospel According to Biff  Christ's Childhood Pal","Christopher Moore",4.25,135109,"eng",444,2004,"William Morrow / HarperCollins / Harper Perennial","Fiction",10380,"Fiction"
"Shutter Island","Dennis Lehane",4.09,134985,"eng",369,2004,"HarperTorch","Fiction",6300,"Fiction"
"Team of Rivals: The Political Genius of Abraham Lincoln","Doris Kearns Goodwin",4.28,133840,"eng",916,2006,"Simon & Schuster","Biography & Autobiography",6118,"Biography & Autobiography"
"The Corrections","Jonathan Franzen",3.79,133237,"eng",653,2002,"Fourth Estate Paperbacks","Aged women",7468,"Social Sciences & Philosophy"
"Gathering Blue (The Giver  #2)","Lois Lowry",3.82,132584,"eng",240,2000,"Delacorte Press","Juvenile Fiction",9341,"Young Adult and Children Fiction"
"The Bluest Eye","Toni Morrison",4.03,132233,"eng",216,2005,"Plume","Fiction",5507,"Fiction"
"Veronika Decides to Die","Paulo Coelho/Margaret Jull Costa/Kâmuran Şipal",3.7,132064,"eng",210,2006,"Harper Perennial","Fiction",5452,"Fiction"
"Men Are from Mars  Women Are from Venus","John Gray",3.55,132062,"eng",368,2012,"Harper Paperbacks","Family & Relationships",3303,"Health, Personal Development & Relationships"
"Suzanne's Diary for Nicholas","James Patterson",4.17,131662,"eng",289,2003,"Vision","Fiction",4267,"Fiction"
"Brave New World / Brave New World Revisited","Aldous Huxley/Christopher Hitchens",4.16,129179,"eng",340,2005,"Harper Perennial Modern Classics","Fiction",1047,"Fiction"
"The Fiery Cross (Outlander  #5)","Diana Gabaldon/Janos Farkas",4.27,128901,"eng",1443,2005,"Dell","Fiction",5294,"Fiction"
"Different Seasons","Stephen King",4.35,127648,"eng",560,1995,"Warner Books","Castle Rock (Me. : Imaginary place)",2080,"Fantasy & Science Fiction"
"The Alienist (Dr. Laszlo Kreizler  #1)","Caleb Carr",4.06,126669,"eng",498,2006,"Random House","Fiction",5578,"Fiction"
"Cloudy With a Chance of Meatballs (Cloudy with a Chance of Meatballs  #1)","Judi Barrett/Ron Barrett",4.16,124141,"eng",32,1982,"Atheneum Books for Young Readers","Juvenile Fiction",2038,"Young Adult and Children Fiction"
"The Queen of the Damned (The Vampire Chronicles  #3)","Anne Rice",3.89,121794,"eng",448,1997,"Ballantine Books","Fiction",1667,"Fiction"
"Murder at the Vicarage (Miss Marple  #1)","Agatha Christie",4.05,121099,"eng",288,2006,"Black Dog & Leventhal Publishers","Fiction",2237,"Fiction"
"No Country for Old Men","Cormac McCarthy",4.14,120421,"eng",309,2006,"Vintage","Fiction",6140,"Fiction"
"Xenocide (Ender's Saga  #3)","Orson Scott Card/Piotr W. Cholewa",3.79,119937,"eng",592,1996,"Tor Books","Fiction",3139,"Fiction"
"Four to Score (Stephanie Plum  #4)","Janet Evanovich",4.17,117541,"eng",313,1999,"St. Martin's Press","Fiction",2502,"Fiction"
"Fablehaven (Fablehaven  #1)","Brandon Mull",4.1,117341,"eng",351,2006,"Shadow Mountain","Juvenile Fiction",8718,"Young Adult and Children Fiction"
"The Screwtape Letters","C.S. Lewis",4.22,116834,"eng",224,2001,"HarperCollins","Religion",4746,"Religious & Spiritual"
"Guilty Pleasures (Anita Blake  Vampire Hunter  #1)","Laurell K. Hamilton",4.02,115364,"eng",355,2004,"Berkley","Fiction",4037,"Fiction"
"A Beautiful Mind","Sylvia Nasar",4.13,115201,"eng",461,2002,"Faber  Faber","Mathematicians",1008,"Technology, Science & Animals"
"Einstein: His Life and Universe","Walter Isaacson",4.11,113315,"eng",675,2007,"Simon  Schuster","Biography & Autobiography",2833,"Biography & Autobiography"
"The Fires of Heaven (The Wheel of Time  #5)","Robert Jordan",4.16,113052,"eng",912,1994,"Orbit","Juvenile Nonfiction",1673,"Young Adult and Children Fiction"
"The Deep End of the Ocean (Cappadora Family  #1)","Jacquelyn Mitchard",3.87,112856,"eng",464,1999,"Penguin Books","Fiction",1028,"Fiction"
"A Fine Balance","Rohinton Mistry",4.36,112196,"eng",603,2001,"Vintage","Fiction",7546,"Fiction"
"The Complete Maus","Art Spiegelman",4.55,111475,"eng",296,2003,"Penguin Books","Children of Holocaust survivors",5966,"History & Historical Fiction"
"Anthem","Ayn Rand",3.63,110952,"eng",105,1999,"NAL","Fiction",7277,"Fiction"
"The Jungle","Upton Sinclair/Earl Lee/Kathleen DeGrave",3.74,110423,"eng",335,2003,"See Sharp Press","Fiction",4133,"Fiction"
"The Dark Half","Stephen King",3.77,110131,"eng",469,1990,"New English Library","English fiction",1282,"Fiction"
"The History of Love","Nicole Krauss",3.92,110082,"eng",255,2006,"Norton","Fiction",9777,"Fiction"
"The Invisible Man","H.G. Wells",3.64,109551,"eng",192,2002,"Signet Classics","Fiction",3892,"Fiction"
"Mystic River","Dennis Lehane",4.18,109447,"eng",416,2001,"William Morrow Paperbacks","Fiction",2859,"Fiction"
"Lord of Chaos (The Wheel of Time  #6)","Robert Jordan",4.13,109234,"eng",1011,1995,"Tor Books","Fiction",1962,"Fiction"
"The Forever War (The Forever War  #1)","Joe Haldeman",4.15,108783,"eng",278,2003,"Voyager","Fiction",4005,"Fiction"
"The Bonesetter's Daughter","Amy Tan",3.99,108440,"eng",387,2003,"Ballantine Books","Fiction",2689,"Fiction"
"The Woman in White","Wilkie Collins/Matthew Sweet",4,108060,"eng",672,2003,"Penguin Classics","Fiction",5168,"Fiction"
"Blindness","José Saramago/Giovanni Pontiero",4.11,107455,"eng",326,1999,"Mariner Books","Fiction",7778,"Fiction"
"Journey to the Center of the Earth (Extraordinary Voyages  #3)","Jules Verne",3.86,107189,"eng",240,2006,"Bantam","Fiction",2510,"Fiction"
"A Crown of Swords (The Wheel of Time  #7)","Robert Jordan",4.04,106712,"eng",880,1997,"Tor Books","Fiction",1604,"Fiction"
"Surely You're Joking  Mr. Feynman!: Adventures of a Curious Character","Richard P. Feynman",4.28,106526,"eng",391,1997,"W. W. Norton & Company","Biography & Autobiography",3685,"Biography & Autobiography"
"Reading Lolita in Tehran: A Memoir in Books","Azar Nafisi",3.61,106493,"eng",356,2003,"Random House Trade Paperbacks","Biography & Autobiography",6561,"Biography & Autobiography"
